Name,Latitude,Longitude
Toney Mountain,-75.8,-115.83
Unnamed,-73.45,164.58
Unnamed,-76.83,163
Waesche,-77.17,-126.88
Young Island,-66.42,162.47
Zavodovski,-56.3,-27.57
Ormus Islands,26,57
Unnamed,12.25,45
"Arhab, Harra of",15.603,44.098
Balhaf-Bir Ali Volcanic Field,14.067,48.3
Bir Borhut,15.515,50.935
"Dhamar, Harras of",14.57,44.67
"Haylan, Jabal",15.4,45.1
"Marha, Jabal el-",15.245,44.236
"Sawad, Harra Es-",13.58,46.12
"Ash Shaam, Harrat",32.333,37.583
"Birk, Harrat al",18.37,41.63
"Ithnayn, Harrat",26.58,40.2
"Khaybar, Harrat",25.5,40
"Kishb, Harrat",22.8,41.38
"Lunayyir, Harrat",25.17,37.75
"Rahah, Harrat ar",27.8,36.17
"Rahat, Harrat",23.08,39.78
"Uwayrid, Harrat",27.08,37.25
"Yar, Jabal",17.05,42.83
East Gakkel Ridge at 85°E,85.608,85.25
Unnamed,88.27,-65.6
Antofagasta Volcanic Field,-26.12,-67.4
Apagado,-41.88,-72.58
Aracar,-24.29,-67.783
"Atuel, Caldera del",-34.592,-69.921
"Blanca, Laguna",-39.02,-70.37
"Blanco, Cerro",-26.766,-67.746
"Condor, El",-26.632,-68.361
Domuyo,-36.638,-70.432
Falso Azufre,-26.8,-68.37
Huanquihue Group,-39.887,-71.58
"Nevada, Sierra",-26.48,-68.58
Payun Matru,-36.422,-69.241
Peinado,-26.623,-68.116
Puesto Cortaderas,-37.567,-69.617
Pular,-24.188,-68.054
Risco Plateado,-34.917,-69.981
"Solo, El",-27.105,-68.713
Tipas,-27.196,-68.561
Trolon,-37.738,-70.906
Tromen,-37.142,-70.03
Tromen Volcanic Plateau,-37.144,-70.033
Tuzgle,-24.05,-66.48
Unnamed,-25.078,-68.266
"Viedma, Volcan",-49.358,-73.28
Aragats,40.53,44.2
Ghegham Volcanic Ridge,40.283,45
Porak,40.028,45.74
Tskhouk-Karckar,39.742,45.992
Vaiyots-Sar,39.797,45.497
Romanche Fracture Zone,-0.433,-19.596
Unnamed,7,-21.83
Unnamed,4.2,-21.45
Unnamed,-3.5,-24.5
Pico Fracture Zone,38.75,-38.08
Unnamed,66,-27.75
Unnamed,49,-34.5
Unnamed,39.95,-25.83
Fagradalsfjall,63.895,-22.258
Jan Mayen,71.082,-8.155
Ascension,-7.95,-14.37
Thompson Island,-53.93,5.5
Trindade,-20.514,-29.331
Tristan da Cunha,-37.092,-12.28
Walvis Ridge at 33°S,-32.958,-5.22
Bouvet,-54.408,3.351
Nightingale Island,-37.42,-12.48
Macdonald,-28.98,-140.25
McBride Volcanic Province,-18.367,144.567
Newer Volcanics Province,-37.77,142.5
Agua de Pau,37.77,-25.47
Corvo,39.699,-31.111
Don Joao de Castro Bank,38.23,-26.63
Fayal,38.576,-28.713
Flores,39.462,-31.216
Furnas,37.77,-25.32
Graciosa,39.02,-27.97
Madeira,32.73,-16.97
Monaco Bank,37.6,-25.88
Pico,38.47,-28.4
Picos Fissural Volcanic System,37.78,-25.67
Sao Jorge,38.65,-28.08
Sete Cidades,37.865,-25.785
Terceira,38.73,-27.32
Wurlali,-7.125,128.675
Banda Api,-4.523,129.881
Emperor of China,-6.62,124.22
Manuk,-5.543,130.303
Nieuwerkerk,-6.6,124.675
Nila,-6.73,129.5
Serua,-6.312,130.017
Teon,-6.976,129.144
Wetar,-6.642,126.65
Jatun Mundo Quri Warani,-19.78,-66.48
"Jayu Khota, Laguna",-19.463,-67.432
Pampa Luxsar,-20.85,-68.2
Parinacota,-18.166,-69.142
Tambo Quemado,-18.62,-68.75
"Yumia, Cerro",-21.5,-67.5
Bombalai,4.4,117.88
Bagana,-6.137,155.196
Balbi,-5.916,155.001
Billy Mitchell,-6.09,155.225
Loloru,-6.52,155.62
Takuan Group,-6.442,155.608
Tore,-5.835,154.935
Alligator Lake,60.42,-135.42
Atlin Volcanic Field,59.708,-133.358
Bridge River Cones,50.8,-123.4
Cayley Volcanic Field,50.12,-123.28
Crow Lagoon,54.7,-130.23
Edziza,57.72,-130.63
Fort Selkirk,62.93,-137.38
Garibaldi,49.85,-123
Garibaldi Lake,49.933,-123
Heart Peaks,58.6,-131.97
Hoodoo Mountain,56.78,-131.28
Iskut-Unuk River Cones,56.567,-130.75
Level Mountain,58.42,-131.35
Meager,50.63,-123.5
Milbanke Sound Group,52.498,-128.723
Nazko,52.928,-123.732
Satah Mountain,52.47,-124.7
Silverthrone,51.518,-126.113
Spectrum Range,57.43,-130.68
Tseax River Cone,55.111,-128.899
Tuya Volcanic Field,59.37,-130.58
Wells Gray-Clearwater,52.33,-120.57
Fuerteventura,28.358,-14.02
Gran Canaria,28,-15.58
Hierro,27.73,-18.03
La Palma,28.57,-17.83
Lanzarote,29.03,-13.63
Tenerife,28.271,-16.641
Brava,14.851,-24.704
Fogo,14.95,-24.35
Santo Antao,17.07,-25.17
"Incahuasi, Nevado de",-27.033,-68.296
Lanin,-39.637,-71.502
Maipo,-34.164,-69.832
San Jose,-33.789,-69.895
Antillanca Volcanic Complex,-40.783,-72.15
Antuco,-37.406,-71.349
"Azul, Cerro",-35.653,-70.761
"Blancas, Lomas",-36.286,-71.009
Caburgua-Huelemolle,-39.25,-71.75
Calabozos,-35.558,-70.496
Callaqui,-37.92,-71.45
Carran-Los Venados,-40.35,-72.07
"Chillan, Nevados de",-36.868,-71.378
Copahue,-37.856,-71.183
Descabezado Grande,-35.58,-70.75
Infiernillo,-35.123,-69.9
Llaima,-38.692,-71.729
"Longavi, Nevado de",-36.196,-71.164
Lonquimay,-38.379,-71.586
"Mariñaqui, Laguna",-38.255,-71.167
"Maule, Laguna del",-36.058,-70.492
Mocho-Choshuenco,-39.927,-72.027
Palomo,-34.608,-70.295
"Pantojo, Cerro",-40.77,-71.95
Planchon-Peteroa,-35.223,-70.568
Puntiagudo-Cordon Cenizos,-40.969,-72.264
Puyehue-Cordon Caulle,-40.59,-72.117
Quetrupillan,-39.496,-71.722
"Resago, Volcan",-36.461,-70.903
San Pedro-Pellado,-35.989,-70.849
Sollipulli,-38.97,-71.52
Tinguiririca,-34.814,-70.352
Tolhuaca,-38.31,-71.645
Tralihue,-38.509,-70.898
Tupungatito,-33.425,-69.797
Villarrica,-39.42,-71.93
Rapa Nui,-27.114,-109.356
Robinson Crusoe,-33.658,-78.85
San Felix,-26.27,-80.12
Unnamed,-33.622,-78.78
Unnamed,-33.62,-76.83
"Bayo Gorbea, Cerro",-25.414,-68.588
Cordon del Azufre,-25.336,-68.521
Corrida de Cori Volcanic Field,-25.083,-68.367
Llullaillaco,-24.72,-68.53
"Ojos del Salado, Nevados",-27.109,-68.541
Socompa,-24.396,-68.246
"Azufre, Cerro del",-21.787,-68.237
Guayaques,-22.895,-67.566
Irruputuncu,-20.73,-68.55
Olca-Paruma,-20.939,-68.413
Sairecabur,-22.719,-67.891
Acamarachi,-23.292,-67.618
Caichinque,-23.949,-67.74
Chiliques,-23.58,-67.7
Colachi,-23.236,-67.645
Copiapo,-27.3,-69.13
Cordon de Puntas Negras,-23.743,-67.534
Guallatiri,-18.42,-69.092
Isluga,-19.15,-68.83
Lascar,-23.37,-67.73
Lastarria,-25.168,-68.507
Licancabur,-22.83,-67.88
Miniques,-23.82,-67.77
"Negrillar, El",-24.18,-68.25
"Negrillar, La",-24.319,-68.59
"Overo, Cerro",-23.52,-67.67
Purico Complex,-23,-67.75
Putana,-22.557,-67.853
San Pedro-San Pablo,-21.888,-68.391
Taapaca,-18.1,-69.5
Tacora,-17.721,-69.773
Tata Sabaya,-19.13,-68.53
Tilocalar,-23.97,-68.13
"Tujle, Cerro",-23.83,-67.95
Aguilera,-50.33,-73.75
Arenales,-47.2,-73.483
"Burney, Monte",-52.33,-73.4
Calbuco,-41.33,-72.618
Cay,-45.059,-72.984
Cayute-La Vigueria,-41.25,-72.27
Cayutue-La Vigueria,-41.3,-72.27
Chaiten,-42.835,-72.651
Corcovado,-43.189,-72.794
Fueguino,-54.97,-70.262
Hornopiren,-41.874,-72.431
"Hudson, Cerro",-45.9,-72.97
Huequi,-42.377,-72.578
Lautaro,-49.019,-73.504
Maca,-45.1,-73.17
Melimoyu,-44.08,-72.88
Mentolat,-44.7,-73.08
Meullin,-45.22,-73.05
Michinmahuida,-42.799,-72.445
Osorno,-41.105,-72.496
Palena Volcanic Group,-43.42,-72.83
Pali-Aike Volcanic Field,-52.082,-69.698
Puyuhuapi,-44.3,-72.53
Reclus,-50.964,-73.58
Río Murta,-46.167,-72.667
Tronador,-41.157,-71.885
Yanteles,-43.469,-72.782
Yate,-41.755,-72.396
Crater Basalt Volcanic Field,-42.018,-70.194
Arxan-Chaihe,47.45,120.8
Honggeertu,41.59,113.111
Jingpohu,44.08,128.83
Keluo Group,49.37,125.92
Longgang Group,42.33,126.5
Wudalianchi,48.722,126.15
Changbaishan,41.98,128.08
Tengchong,25.23,98.5
Ashikule Volcanic Field,35.742,81.646
Tianshan Volc Group,42.5,82.5
Turfan,42.9,89.25
Unnamed,35.85,91.7
Azufral,1.08,-77.68
"Bravo, Cerro",5.091,-75.293
Cumbal,0.95,-77.87
Dona Juana,1.5,-76.936
Galeras,1.22,-77.37
"Huila, Nevado del",2.93,-76.03
Machin,4.487,-75.389
Petacas,1.57,-76.78
Purace,2.32,-76.4
Romeral,5.203,-75.363
"Ruiz, Nevado del",4.892,-75.324
Santa Isabel,4.818,-75.365
Sotara,2.108,-76.592
"Tolima, Nevado del",4.658,-75.33
Chiles-Cerro Negro,0.817,-77.938
Arenal,10.463,-84.703
Barva,10.135,-84.1
Irazu,9.979,-83.852
Miravalles,10.748,-85.153
Orosi,10.98,-85.473
Platanar,10.3,-84.366
Poas,10.2,-84.233
Rincon de la Vieja,10.83,-85.324
Tenorio,10.673,-85.015
Turrialba,10.025,-83.767
Dawson Strait Group,-9.62,150.88
Goodenough,-9.358,150.246
Iamalele,-9.506,150.524
Aliso,-0.53,-78
Antisana,-0.481,-78.141
Atacazo,-0.353,-78.617
Cayambe,0.029,-77.986
Chacana,-0.375,-78.25
Chachimbiro,0.468,-78.287
Chimborazo,-1.469,-78.817
Cotopaxi,-0.677,-78.436
Cuicocha,0.308,-78.364
Guagua Pichincha,-0.171,-78.598
Iliniza,-0.662,-78.716
Imbabura,0.258,-78.183
Licto,-1.786,-78.614
Mojanda,0.13,-78.27
Pululahua,0.046,-78.49
Quilotoa,-0.859,-78.904
Reventador,-0.077,-77.656
Sangay,-2.005,-78.341
Soche,0.552,-77.58
Sumaco,-0.538,-77.626
Tungurahua,-1.467,-78.442
Apaneca Range,13.872,-89.742
Apastepeque Field,13.72,-88.77
"Aramuaca, Laguna",13.428,-88.105
Chinameca,13.478,-88.33
"Cinotepeque, Cerro",14.02,-89.25
Coatepeque Caldera,13.87,-89.55
Conchagua,13.277,-87.853
Conchaguita,13.22,-87.765
Guazapa,13.9,-89.12
Ilopango,13.672,-89.053
Izalco,13.813,-89.633
San Diego,14.27,-89.48
San Marcelino,13.853,-89.63
San Miguel,13.434,-88.269
San Salvador,13.734,-89.294
San Vicente,13.595,-88.837
Santa Ana,13.853,-89.63
"Singuil, Cerro",14.054,-89.631
Taburete,13.435,-88.532
Tecapa,13.494,-88.502
"Tigre, El",13.47,-88.43
Usulutan,13.419,-88.471
Manda Gargori,11.75,41.48
Koro,-17.32,179.4
Nabukelevu,-19.118,177.982
Taveuni,-16.841,-179.964
Chaine des Puys,45.786,2.981
Alcedo,-0.43,-91.12
"Azul, Cerro",-0.92,-91.408
Darwin,-0.18,-91.28
Ecuador,-0.02,-91.546
Fernandina,-0.37,-91.55
Genovesa,0.32,-89.958
Marchena,0.33,-90.47
"Negra, Sierra",-0.83,-91.17
Pinta,0.58,-90.75
San Cristobal,-0.88,-89.5
Santa Cruz,-0.62,-90.33
Santiago,-0.22,-90.77
Wolf,0.02,-91.35
Kabargin Oth Group,42.55,44
Kazbek,42.7,44.5
Samsari Volcanic Center,41.542,43.7
Unnamed,42.45,44.25
West Eifel Volcanic Field,50.17,6.85
Methana,37.619,23.333
Milos,36.699,24.439
Nisyros,36.589,27.155
Santorini,36.404,25.396
Yali,36.671,27.14
Acatenango,14.501,-90.876
Agua,14.465,-90.743
Almolonga,14.797,-91.519
Atitlan,14.583,-91.186
Chingo,14.12,-89.73
Chiquimula Volcanic Field,14.83,-89.55
Cuilapa-Barbarena,14.33,-90.4
Flores,14.308,-89.992
Fuego,14.473,-90.88
Ipala,14.55,-89.63
Ixtepeque,14.42,-89.68
Jumaytepeque,14.34,-90.271
Moyuta,14.03,-90.1
Pacaya,14.382,-90.601
Quezaltepeque,14.57,-89.45
Santa Maria,14.757,-91.552
"Santiago, Cerro",14.33,-89.87
Suchitan,14.4,-89.78
Tahual,14.43,-89.9
Tajumulco,15.043,-91.903
Tecuamburro,14.156,-90.407
Toliman,14.612,-91.189
Amasing,-0.525,127.496
Bibinoi,-0.761,127.725
Dukono,1.699,127.878
Gamalama,0.81,127.332
Gamkonora,1.38,127.53
Hiri,0.9,127.32
Ibu,1.488,127.63
Jailolo,1.08,127.439
Kie Besi,0.32,127.4
Kie Matubu,0.662,127.403
Mare,0.57,127.4
Moti,0.454,127.411
Tarakan,1.832,127.825
Tigalalu,0.07,127.42
Tobaru,1.63,127.67
Todoko-Ranu,1.239,127.456
Haleakala,20.708,-156.25
Hualalai,19.692,-155.87
Kama'ehuakanaloa,18.92,-155.27
Kilauea,19.421,-155.287
Mauna Kea,19.82,-155.47
Mauna Loa,19.475,-155.608
Unnamed,21.75,-158.75
Unnamed,23.58,-163.83
Akan,43.384,144.013
Esan,41.805,141.166
Hokkaido-Komagatake,42.063,140.677
Kussharo,43.615,144.427
Kuttara,42.491,141.16
Mashu,43.572,144.561
Niseko,42.875,140.659
Oshima-Oshima,41.51,139.367
Rausudake,44.076,145.122
Rishirizan,45.179,141.242
Shikaribetsu Group,43.28,143.08
Shikotsu,42.688,141.38
Shiretoko-Iozan,44.133,145.161
Taisetsuzan,43.664,142.854
Tenchozan,44.044,145.086
Tokachidake,43.418,142.686
Toya,42.544,140.839
Yoteizan,42.827,140.812
"Tigre, Isla del",13.274,-87.639
Utila Island,16.1,-86.9
"Yojoa, Lago",14.964,-87.983
"Zacate Grande, Isla",13.33,-87.63
Abu,34.483,131.517
Adatarayama,37.647,140.281
Akagisan,36.56,139.193
Akandanayama,36.2,137.573
Akita-Komagatake,39.761,140.799
Akita-Yakeyama,39.964,140.757
Asamayama,36.406,138.523
Azumayama,37.735,140.244
Bandaisan,37.601,140.072
Chokaisan,39.099,140.049
Fujisan,35.361,138.728
Hachimantai,39.958,140.854
Hakkodasan,40.659,140.877
Hakoneyama,35.233,139.021
Hakusan,36.155,136.771
Harunasan,36.477,138.851
Hijiori,38.599,140.162
Hiuchigatake,36.955,139.285
Iwakisan,40.656,140.303
Iwatesan,39.853,141.001
Izu-Tobu,34.9,139.098
Kurikomayama,38.961,140.788
Kusatsu-Shiranesan,36.618,138.528
Megata,39.95,139.73
Midagahara,36.571,137.59
Myokosan,36.891,138.114
Nantaisan,36.765,139.491
Naruko,38.729,140.734
Nasudake,37.125,139.963
Niigata-Yakeyama,36.921,138.036
Nikko-Shiranesan,36.799,139.376
Norikuradake,36.106,137.554
Numazawa,37.444,139.566
Oki-Dogo,36.176,133.334
Omanago Group,36.807,139.476
Ontakesan,35.893,137.48
Osorezan,41.279,141.12
Sanbesan,35.141,132.622
Shiga,36.688,138.519
Takaharayama,36.9,139.777
Towada,40.51,140.88
Washiba-Kumonotaira,36.408,137.594
Yakedake,36.227,137.587
Yokodake,36.087,138.32
Zaozan [Zaosan],38.144,140.44
Theistareykir,65.883,-16.967
Manareyjar,66.3,-17.1
Kolbeinsey Ridge,66.67,-18.5
Tjornes Fracture Zone,66.309,-17.118
Askja,65.033,-16.783
Bardarbunga,64.633,-17.516
Fremrinamar,65.416,-16.666
Grimsvotn,64.416,-17.316
Heidarspordar,65.583,-16.817
Krafla,65.715,-16.728
Kverkfjoll,64.653,-16.647
Lakagigar,64.42,-17.33
Snaefell,64.798,-15.56
Thordarhyrna,64.267,-17.617
Trollagigar,64.43,-18.13
Tungnafellsjokull,64.75,-17.916
Eyjafjallajokull,63.633,-19.633
Hekla,63.983,-19.666
Hromundartindur,64.083,-21.333
Katla,63.633,-19.083
Krakagiger,63.98,-19.7
Lambafit,64.08,-19.4
Mundafell,63.98,-19.7
Thordarhyrna,62.27,-17.6
Tindfjallajokull,63.783,-19.716
Torfajokull,63.892,-19.122
Vestmannaeyjar,63.416,-20.266
Esjufjoll,64.25,-16.583
Oraefajokull,64,-16.65
Brennisteinsfjoll,63.933,-21.783
Eldey,63.733,-23
Grimsnes,64.05,-20.883
Hengill,64.083,-21.416
Hofsjokull,64.833,-18.766
Kristnitokugigar,63.98,-21.42
Krysuvik-Trolladyngja,63.917,-22.067
Oddnyjarhnjukur-Langjokull,64.85,-19.7
Prestahnukur,64.583,-20.666
Reykjanes,63.817,-22.717
Reykjaneshryggur,63.67,-23.33
Helgrindur,64.866,-23.283
Ljosufjoll,64.9,-22.483
Snaefellsjokull,64.8,-23.783
Unnamed,11.75,80.75
"Est, Ile de l'",-46.43,52.2
Kerguelen Islands,-49.58,69.5
Heard,-53.106,73.513
Amsterdam Island,-37.83,77.52
"Cochons, Ile Aux",-46.1,50.23
McDonald Islands,-53.03,72.6
"Possession, Ile de la",-46.42,51.75
Prince Edward Island,-46.63,37.95
St. Paul,-38.72,77.53
Marion Island,-46.9,37.75
"Grille, La",-11.47,43.33
Karthala,-11.75,43.38
Mayotte,-12.83,45.17
"Fournaise, Piton de la",-21.244,55.708
Boomerang Seamount,-37.722,77.822
Krakatau,-6.101,105.423
Bazman,28.07,60
Damavand,35.951,52.109
Kuh-e Nader,28.17,60.67
Qal'eh Hasan Ali,29.4,57.57
Sabalan,38.268,47.835
Sahand,37.75,46.43
Taftan,28.6,61.13
Unnamed,39.25,45.167
Campi Flegrei,40.827,14.139
Campi Flegrei del Mar di Sicilia,37.1,12.7
Colli Albani,41.757,12.725
Etna,37.748,14.999
Ischia,40.73,13.897
Larderello,43.25,10.87
Lipari,38.49,14.933
Marsili,39.284,14.399
Palinuro,39.48,14.83
Panarea,38.638,15.064
Pantelleria,36.77,12.02
Stromboli,38.789,15.213
Vesuvius,40.821,14.426
Vulcano,38.404,14.962
Vulsini,42.6,11.93
Aogashima,32.458,139.759
Doyo Seamount,27.68,140.8
Hachijojima,33.137,139.766
Izu-Oshima,34.724,139.394
Izu-Torishima,30.484,140.303
Kita-Bayonnaise,32.1,139.85
Kozushima,34.219,139.153
Kurose Hole,33.4,139.68
Mikurajima,33.874,139.602
Miyakejima,34.094,139.526
Mokuyo Seamount,28.327,140.572
Myojinsho,31.888,139.918
Niijima,34.397,139.27
Sofugan,29.794,140.342
Sumisujima,31.44,140.051
Toshima,34.52,139.279
Maruyama,43.418,143.031
Arjuno-Welirang,-7.733,112.575
Baluran,-7.85,114.37
Ciremai,-6.895,108.408
Dieng Volcanic Complex,-7.2,109.879
Galunggung,-7.25,108.058
Gede-Pangrango,-6.786,106.983
Guntur,-7.143,107.841
Ijen,-8.058,114.242
